run_id,track,env_id,algorithm,setting_name,seed,total_timesteps,eval_freq,n_eval_episodes_train,n_eval_episodes_final,policy,use_vecnormalize,normalize_obs,normalize_reward,hyperparams_json,status,start_time,end_time,wall_clock_seconds,device,python_version,gymnasium_version,mujoco_version,stable_baselines3_version,sb3_contrib_version,torch_version,cuda_available,gpu_name,git_commit,model_path,tensorboard_path,train_eval_csv_path,final_eval_csv_path,notes
Hopper-v5__TQC__diagnostic_250k__sb3default__seed2__steps250000,diagnostic_250k,Hopper-v5,TQC,sb3default,2,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Hopper-v5\Hopper-v5__TQC__seed02__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Hopper-v5__TQC__legacy_1m__sb3default__seed2__steps1000000,legacy_1m,Hopper-v5,TQC,sb3default,2,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,486.53,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Hopper-v5\Hopper-v5__TQC__seed02__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Hopper-v5__TQC__diagnostic_250k__sb3default__seed1__steps250000,diagnostic_250k,Hopper-v5,TQC,sb3default,1,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Hopper-v5\Hopper-v5__TQC__seed01__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Hopper-v5__TQC__legacy_1m__sb3default__seed1__steps1000000,legacy_1m,Hopper-v5,TQC,sb3default,1,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,478.79,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Hopper-v5\Hopper-v5__TQC__seed01__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Hopper-v5__TQC__diagnostic_250k__sb3default__seed0__steps250000,diagnostic_250k,Hopper-v5,TQC,sb3default,0,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Hopper-v5\Hopper-v5__TQC__seed00__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
HalfCheetah-v5__PPO__legacy_1m__sb3default__seed6__steps1000000,legacy_1m,HalfCheetah-v5,PPO,sb3default,6,1000000,25000.0,10.0,10.0,MlpPolicy,True,True,True,{},complete,,,1603.95,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__PPO__seed06__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Walker2d-v5__PPO__legacy_1m__sb3default__seed5__steps1000000,legacy_1m,Walker2d-v5,PPO,sb3default,5,1000000,25000.0,10.0,10.0,MlpPolicy,True,True,True,{},complete,,,1209.17,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__PPO__seed05__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Walker2d-v5__PPO__diagnostic_250k__sb3default__seed4__steps250000,diagnostic_250k,Walker2d-v5,PPO,sb3default,4,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__PPO__seed04__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__PPO__legacy_1m__sb3default__seed4__steps1000000,legacy_1m,Walker2d-v5,PPO,sb3default,4,1000000,25000.0,10.0,10.0,MlpPolicy,True,True,True,{},complete,,,1212.72,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__PPO__seed04__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Walker2d-v5__PPO__diagnostic_250k__sb3default__seed3__steps250000,diagnostic_250k,Walker2d-v5,PPO,sb3default,3,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__PPO__seed03__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
